province;red;green;blue;x;x
1;0;0;0;Land;x
2;84;6;1;Chalcis;x
3;126;9;129;Eretria;x
4;168;12;8;Andros;x
5;0;15;130;Naxos;x
6;168;45;177;Ionian Islands;x
7;84;21;131;Corfu;x
8;126;24;4;Kydonia;x
9;168;27;132;Knossos;x
10;0;30;5;Karpathos;x
11;42;33;133;Rhodos;x
12;84;36;6;Kos;x
13;126;39;134;Samos;x
14;168;42;7;Chios;x
15;0;45;135;Lesbos;x
16;42;48;8;Lemnos;x
17;84;51;136;Sporades;x
18;126;54;9;Athens;x
19;168;57;137;Thebes;x
20;0;60;10;Delphi;x
21;42;63;138;Corinth;x
22;85;66;11;Argos;x
23;126;69;139;Sparta;x
24;168;72;12;Messene;x
25;0;75;140;Megalopolis;x
26;42;78;13;Olympia;x
27;126;84;14;Patra;x
28;84;81;141;Thermos;x
29;168;87;142;Thesprotia;x
30;0;90;15;Ilium;x
31;42;93;143;Chaonia;x
32;84;96;16;Lamia;x
33;126;99;144;Larissa;x
34;168;102;17;Pella;x
35;0;105;145;Chalkidiki;x
36;42;108;18;Amphipolis;x
37;84;111;146;Thasos;x
38;126;114;19;Philippopolis;x
39;168;117;147;Seuthopolis;x
40;79;169;72;Edirne;x
41;42;123;148;Maroneia;x
42;84;126;21;Abdera;x
43;142;47;45;Amantia;x
44;168;132;22;Perinthus;x
45;0;135;150;Byzantion;x
46;84;3;36;Apollonia;x
47;168;207;162;Odessos;x
48;126;144;24;Histria;x
49;56;49;58;Malis;x
50;58;22;22;Pharsalus;x
51;42;153;153;Arbitus;x
52;84;156;26;Tyras;x
53;126;159;154;Olbia;x
54;168;162;27;Kerkinitis;x
55;0;165;155;Pantikapaion;x
56;42;168;28;Phanagoria;x
57;84;171;156;Tanais;x
58;126;174;29;Stratus;x
59;168;177;157;Lyncestis;x
60;0;180;30;Elimea;x
61;42;183;158;Epidamnos;x
62;25;24;56;Ambracia;x
63;42;30;168;Parthus;x
64;168;192;32;Scodra;x
65;0;195;160;Stobi;x
66;42;198;33;Epidaurum;x
67;126;204;34;Paroikopolis;x
68;84;201;161;Ulpiana;x
69;42;0;163;Delminium;x
70;0;210;35;Iader;x
71;0;72;175;Parentium;x
72;84;141;15;Singidunum;x
73;126;6;164;Ratiaria;x
74;168;9;37;Sala;x
75;203;52;216;Orestis;x
76;168;186;167;Abydos;x
77;94;133;184;Pergamon;x
78;168;24;167;Cyzicus;x
79;59;97;77;Smyrna;x
80;59;28;77;Ephesus;x
81;126;21;39;Sardis;x
82;168;115;115;Miletus;x
83;84;18;166;Halicarnassus;x
84;56;56;37;Oichalia;x
85;120;58;58;Xanthos;x
86;42;77;166;Termessos;x
87;148;164;207;Side;x
88;132;153;207;Daskyleion;x
89;21;144;45;Alabanda;x
90;73;134;55;Sagalassos;x
91;56;203;174;Celaenae;x
92;84;94;166;Dorylaeum;x
93;84;33;41;Ipsus;x
94;204;120;68;Gordium;x
95;40;34;146;Pessinus;x
96;90;87;153;Ancyra;x
97;89;30;168;Cius;x
98;149;131;173;Nicaea;x
99;0;27;40;Nicomedia;x
100;194;62;133;Heracleia;x
101;151;34;34;Amastris;x
102;64;126;43;Sinope;x
103;126;36;169;Gangra;x
104;179;133;200;Syedra;x
105;56;129;140;Celenderis;x
106;113;199;211;Tarsus;x
107;14;80;18;Adana;x
108;109;213;109;Iconium;x
109;103;37;144;Lystra;x
110;39;18;67;Amisus;x
111;36;131;99;Polemonion;x
112;29;178;29;Trapezous;x
113;176;178;29;Amaseia;x
114;41;22;53;Tyana;x
115;97;84;22;Cataonia;x
116;128;77;39;Pteria;x
117;101;199;53;Mazaka;x
118;135;198;203;Megalopolis_Cappadocia;x
119;226;157;79;Myriandos;x
120;100;226;79;Antiocheia;x
121;64;143;120;Arados;x
122;78;84;208;Tripolis;x
123;181;33;72;Byblos;x
124;45;21;40;Sidon;x
125;129;63;116;Tyrus;x
126;116;32;54;Apollonia Palestina;x
127;37;100;22;Samaria;x
128;89;184;66;Jericho;x
129;33;150;217;Gaza;x
130;24;56;75;Jerusalem;x
131;117;156;179;Beersheba;x
132;42;42;122;Pelusium;x
133;126;73;193;Rhaithou;x
134;56;115;95;Aelana;x
135;67;177;59;Tanis;x
136;35;84;31;Sebennytos;x
137;48;126;112;Bouto;x
138;66;52;176;Canopus;x
139;24;76;67;Alexandria;x
140;18;31;77;Heliopolis;x
141;72;49;79;Memphis;x
142;113;81;150;Aphroditopolis;x
143;39;56;32;Crocodilopolis;x
144;87;87;110;Clysma;x
145;114;142;102;Oxyrhynchus;x
146;26;26;64;Qubba;x
147;51;112;143;Lykopolis;x
148;182;59;74;Panopolis;x
149;121;38;48;Kaine;x
150;85;31;37;Thebes;x
151;65;91;105;Persou;x
152;131;73;129;Latopolis;x
153;17;91;88;Syene;x
154;88;176;221;Berenike;x
155;78;129;156;Hibis;x
156;109;113;41;Kysis;x
157;46;91;115;Mothis;x
158;41;120;35;Antiphrai;x
159;32;59;42;Paraetonium;x
160;16;25;115;Catabathmus;x
161;78;91;32;Petras Mikros;x
162;64;101;168;Darnis;x
163;193;90;199;Cyrene;x
164;53;41;124;Barke;x
165;12;38;85;Euesperides;x
166;106;20;131;Paphos;x
167;157;68;182;Kition;x
168;65;53;100;Salamis;x
169;72;112;65;Auara;x
170;41;48;112;Petra;x
171;68;80;188;Characmoba;x
172;83;29;103;Madaba;x
173;156;123;168;Gadara;x
174;116;112;199;Bostra;x
175;74;32;90;Damascus;x
176;40;37;96;Palmyra;x
177;133;106;75;Thapsacus;x
178;175;71;71;Zeugma;x
179;137;74;161;Edessa;x
180;65;16;84;Harran;x
181;38;142;176;Amida;x
182;35;132;42;Nisibin;x
183;23;40;46;Resaina;x
184;64;131;154;Terqa;x
185;31;153;196;Anatho;x
186;30;90;55;Pinaka;x
187;73;119;93;Ashur;x
188;43;154;90;Takrit;x
189;88;190;131;Arrapha;x
190;82;100;43;Arbela;x
191;52;124;82;Nineveh;x
192;48;109;131;Maskin;x
193;113;160;177;Sippar;x
194;15;31;93;Opis;x
195;40;176;224;Babylon;x
196;39;11;50;Marad;x
197;88;28;110;Nippur;x
198;167;178;77;Uruk;x
199;168;185;20;Ur;x
200;88;97;17;Charax;x
201;177;137;91;Samosata;x
202;125;85;39;Adatha;x
203;90;135;41;Melitene;x
204;23;139;102;Gundusa;x
205;123;30;30;Chorsabia;x
206;92;18;18;Sinoria;x
207;14;96;33;Ani Kamah;x
208;30;159;60;Arsamosata;x
209;171;16;16;Karkathiokerta;x
210;159;88;88;Tigranocerta;x
211;74;96;178;Zoaranda;x
212;112;24;157;Thospia;x
213;40;63;148;Calata;x
214;164;199;58;Karin;x
215;73;90;20;Ashtishat;x
216;170;157;72;Eruandakert;x
217;102;32;101;Palacata;x
218;102;92;24;Armavir;x
219;44;61;8;Shalat;x
220;17;103;80;Amaras;x
221;18;72;11;Harmozike;x
222;96;16;95;Sarapanis;x
223;64;185;48;Mtskheta;x
224;60;73;24;Sanua;x
225;21;101;45;Apsaros;x
226;10;71;28;Phasis;x
227;33;141;97;Kotais;x
228;73;196;163;Dioscurias;x
229;90;186;160;Chabala;x
230;152;21;80;Sanina;x
231;23;58;71;Spandaran;x
232;23;91;116;Aharawan;x
233;25;196;150;Ardabil;x
234;48;13;146;Praaspa;x
235;90;81;115;Adar Gushnasp;
236;103;130;21;Gaznik;x
237;8;93;70;Morunda;x
238;6;38;50;Daskara;x
239;24;136;69;Hulwan;x
240;0;18;151;Ecbatana;x
241;78;125;189;Aganzana;x
242;98;26;139;Saveh;x
243;149;29;29;Rhagai;x
244;13;104;47;Hecatombylos;x
245;60;92;251;Zadracarta;x
246;9;21;85;Asaak;x
247;67;11;11;Madhar;x
248;176;59;59;Soloke;x
249;204;113;113;Susa;x
250;57;119;142;Nemavand;x
251;40;54;188;Bushahr;x
252;60;251;245;Cyropolis;x
253;15;104;68;Pasargadae;x
254;6;97;131;Aspadana;x
255;99;164;188;Harmozeia;x
256;20;133;134;Taruana;x
257;41;135;77;Carmana;x
258;75;189;190;Bam;x
259;56;145;213;Tabus;x 
260;73;172;110;Choarene;x
261;15;91;83;Susia;x
262;24;91;143;Pura;x
263;132;32;32;Chodda;x
264;16;65;103;Calame;x
265;11;87;88;Soxetra;x
266;19;38;88;Nisaea;x
267;255;84;198;Albanopolis;x
268;104;38;35;Uscana;x
269;107;68;83;Neapolis;x
270;107;98;40;Scaptobara;x
271;71;91;141;Alexandria Bactria;x
272;181;126;156;Bactra;x
273;118;56;90;Drapsaka;x
274;154;10;171;Marakanda;x
275;168;40;110;Tarmita;x
276;136;202;223;Alexandria Eschate;x
277;121;178;126;Massaka;x
278;65;181;76;Kophen;x
